task,team,correctItem_any
KIS Textual 1,siret I,true
KIS Textual 11,siret I,true
KIS Textual 12,siret I,false
KIS Textual 13,siret I,true
KIS Textual 15,siret I,false
KIS Textual 17,siret I,true
KIS Textual 18,siret I,true
KIS Textual 19,siret I,false
KIS Textual 2,siret I,true
KIS Textual 20,siret I,false
KIS Textual 21,siret I,true
KIS Textual 22,siret I,false
KIS Textual 23,siret I,false
KIS Textual 24,siret I,true
KIS Textual 25,siret I,false
KIS Textual 3,siret I,true
KIS Textual 4,siret I,true
KIS Textual 5,siret I,false
KIS Textual 6,siret I,false
KIS Textual 8,siret I,true
KIS Textual 9,siret I,false
KIS Visual 1,siret I,true
KIS Visual 11,siret I,true
KIS Visual 12,siret I,false
KIS Visual 13,siret I,true
KIS Visual 15,siret I,true
KIS Visual 17,siret I,true
KIS Visual 18,siret I,true
KIS Visual 19,siret I,false
KIS Visual 2,siret I,false
KIS Visual 20,siret I,true
KIS Visual 21,siret I,false
KIS Visual 22,siret I,true
KIS Visual 23,siret I,false
KIS Visual 24,siret I,true
KIS Visual 25,siret I,true
KIS Visual 3,siret I,true
KIS Visual 4,siret I,false
KIS Visual 5,siret I,true
KIS Visual 6,siret I,true
KIS Visual 8,siret I,false
KIS Visual 9,siret I,true
KIS Textual 1,siret II,true
KIS Textual 11,siret II,true
KIS Textual 12,siret II,true
KIS Textual 13,siret II,true
KIS Textual 15,siret II,true
KIS Textual 17,siret II,false
KIS Textual 18,siret II,true
KIS Textual 19,siret II,true
KIS Textual 2,siret II,true
KIS Textual 20,siret II,true
KIS Textual 21,siret II,true
KIS Textual 22,siret II,false
KIS Textual 23,siret II,false
KIS Textual 3,siret II,true
KIS Textual 4,siret II,true
KIS Textual 5,siret II,false
KIS Textual 6,siret II,true
KIS Textual 8,siret II,true
KIS Textual 9,siret II,false
KIS Visual 1,siret II,true
KIS Visual 11,siret II,true
KIS Visual 12,siret II,false
KIS Visual 13,siret II,true
KIS Visual 15,siret II,true
KIS Visual 17,siret II,true
KIS Visual 18,siret II,false
KIS Visual 19,siret II,true
KIS Visual 2,siret II,true
KIS Visual 20,siret II,true
KIS Visual 21,siret II,true
KIS Visual 22,siret II,true
KIS Visual 23,siret II,true
KIS Visual 3,siret II,false
KIS Visual 4,siret II,true
KIS Visual 5,siret II,true
KIS Visual 6,siret II,true
KIS Visual 8,siret II,true
KIS Visual 9,siret II,false
KIS Textual 1,siret III,false
KIS Textual 11,siret III,true
KIS Textual 12,siret III,true
KIS Textual 13,siret III,false
KIS Textual 15,siret III,true
KIS Textual 17,siret III,false
KIS Textual 18,siret III,true
KIS Textual 19,siret III,false
KIS Textual 2,siret III,true
KIS Textual 20,siret III,true
KIS Textual 21,siret III,true
KIS Textual 22,siret III,true
KIS Textual 23,siret III,false
KIS Textual 24,siret III,true
KIS Textual 25,siret III,false
KIS Textual 3,siret III,true
KIS Textual 4,siret III,false
KIS Textual 5,siret III,false
KIS Textual 6,siret III,true
KIS Textual 8,siret III,true
KIS Textual 9,siret III,false
KIS Visual 1,siret III,true
KIS Visual 11,siret III,true
KIS Visual 12,siret III,false
KIS Visual 13,siret III,true
KIS Visual 15,siret III,true
KIS Visual 17,siret III,true
KIS Visual 18,siret III,false
KIS Visual 19,siret III,true
KIS Visual 2,siret III,true
KIS Visual 20,siret III,true
KIS Visual 21,siret III,true
KIS Visual 22,siret III,false
KIS Visual 23,siret III,true
KIS Visual 24,siret III,true
KIS Visual 25,siret III,true
KIS Visual 3,siret III,true
KIS Visual 4,siret III,false
KIS Visual 5,siret III,true
KIS Visual 6,siret III,true
KIS Visual 8,siret III,true
KIS Visual 9,siret III,true
KIS Textual 1,siret IV,false
KIS Textual 11,siret IV,true
KIS Textual 12,siret IV,false
KIS Textual 13,siret IV,true
KIS Textual 15,siret IV,true
KIS Textual 17,siret IV,false
KIS Textual 18,siret IV,true
KIS Textual 19,siret IV,false
KIS Textual 2,siret IV,true
KIS Textual 20,siret IV,false
KIS Textual 21,siret IV,true
KIS Textual 22,siret IV,true
KIS Textual 23,siret IV,false
KIS Textual 24,siret IV,true
KIS Textual 25,siret IV,false
KIS Textual 3,siret IV,true
KIS Textual 4,siret IV,true
KIS Textual 5,siret IV,true
KIS Textual 6,siret IV,true
KIS Textual 8,siret IV,false
KIS Textual 9,siret IV,false
KIS Visual 1,siret IV,true
KIS Visual 11,siret IV,true
KIS Visual 12,siret IV,false
KIS Visual 13,siret IV,true
KIS Visual 15,siret IV,true
KIS Visual 17,siret IV,true
KIS Visual 18,siret IV,true
KIS Visual 19,siret IV,true
KIS Visual 2,siret IV,true
KIS Visual 20,siret IV,true
KIS Visual 21,siret IV,true
KIS Visual 22,siret IV,true
KIS Visual 23,siret IV,false
KIS Visual 24,siret IV,true
KIS Visual 25,siret IV,true
KIS Visual 3,siret IV,true
KIS Visual 4,siret IV,false
KIS Visual 5,siret IV,true
KIS Visual 6,siret IV,true
KIS Visual 8,siret IV,true
KIS Visual 9,siret IV,true
KIS Textual 1,siret V,false
KIS Textual 11,siret V,true
KIS Textual 12,siret V,true
KIS Textual 13,siret V,false
KIS Textual 15,siret V,true
KIS Textual 17,siret V,false
KIS Textual 18,siret V,false
KIS Textual 19,siret V,false
KIS Textual 2,siret V,true
KIS Textual 20,siret V,false
KIS Textual 21,siret V,true
KIS Textual 3,siret V,true
KIS Textual 4,siret V,true
KIS Textual 5,siret V,false
KIS Textual 6,siret V,true
KIS Textual 8,siret V,true
KIS Textual 9,siret V,false
KIS Visual 1,siret V,true
KIS Visual 11,siret V,true
KIS Visual 12,siret V,true
KIS Visual 13,siret V,true
KIS Visual 15,siret V,true
KIS Visual 17,siret V,true
KIS Visual 18,siret V,true
KIS Visual 19,siret V,true
KIS Visual 2,siret V,true
KIS Visual 20,siret V,true
KIS Visual 21,siret V,false
KIS Visual 3,siret V,true
KIS Visual 4,siret V,false
KIS Visual 5,siret V,true
KIS Visual 6,siret V,true
KIS Visual 8,siret V,false
KIS Visual 9,siret V,false
KIS Textual 1,siret VI,true
KIS Textual 11,siret VI,true
KIS Textual 12,siret VI,true
KIS Textual 13,siret VI,false
KIS Textual 15,siret VI,true
KIS Textual 17,siret VI,false
KIS Textual 18,siret VI,true
KIS Textual 19,siret VI,true
KIS Textual 2,siret VI,true
KIS Textual 20,siret VI,true
KIS Textual 21,siret VI,true
KIS Textual 22,siret VI,false
KIS Textual 23,siret VI,false
KIS Textual 24,siret VI,true
KIS Textual 25,siret VI,false
KIS Textual 3,siret VI,true
KIS Textual 4,siret VI,true
KIS Textual 5,siret VI,false
KIS Textual 6,siret VI,true
KIS Textual 8,siret VI,true
KIS Textual 9,siret VI,true
KIS Visual 1,siret VI,true
KIS Visual 11,siret VI,true
KIS Visual 12,siret VI,false
KIS Visual 13,siret VI,true
KIS Visual 15,siret VI,true
KIS Visual 17,siret VI,true
KIS Visual 18,siret VI,false
KIS Visual 19,siret VI,true
KIS Visual 2,siret VI,true
KIS Visual 20,siret VI,true
KIS Visual 21,siret VI,false
KIS Visual 22,siret VI,true
KIS Visual 23,siret VI,false
KIS Visual 24,siret VI,true
KIS Visual 25,siret VI,true
KIS Visual 3,siret VI,true
KIS Visual 4,siret VI,false
KIS Visual 5,siret VI,true
KIS Visual 6,siret VI,false
KIS Visual 8,siret VI,false
KIS Visual 9,siret VI,false
KIS Textual 1,siret VII,true
KIS Textual 11,siret VII,true
KIS Textual 12,siret VII,true
KIS Textual 13,siret VII,true
KIS Textual 15,siret VII,true
KIS Textual 17,siret VII,true
KIS Textual 18,siret VII,true
KIS Textual 19,siret VII,true
KIS Textual 2,siret VII,true
KIS Textual 20,siret VII,false
KIS Textual 21,siret VII,true
KIS Textual 22,siret VII,false
KIS Textual 23,siret VII,true
KIS Textual 24,siret VII,true
KIS Textual 25,siret VII,false
KIS Textual 3,siret VII,true
KIS Textual 4,siret VII,true
KIS Textual 5,siret VII,true
KIS Textual 6,siret VII,false
KIS Textual 8,siret VII,false
KIS Textual 9,siret VII,false
KIS Visual 1,siret VII,true
KIS Visual 11,siret VII,true
KIS Visual 12,siret VII,false
KIS Visual 13,siret VII,true
KIS Visual 15,siret VII,false
KIS Visual 17,siret VII,true
KIS Visual 18,siret VII,true
KIS Visual 19,siret VII,true
KIS Visual 2,siret VII,false
KIS Visual 20,siret VII,true
KIS Visual 21,siret VII,false
KIS Visual 22,siret VII,true
KIS Visual 23,siret VII,true
KIS Visual 24,siret VII,true
KIS Visual 25,siret VII,true
KIS Visual 3,siret VII,false
KIS Visual 4,siret VII,false
KIS Visual 5,siret VII,true
KIS Visual 6,siret VII,false
KIS Visual 8,siret VII,false
KIS Visual 9,siret VII,false
KIS Textual 1,vitrivr I,true
KIS Textual 11,vitrivr I,true
KIS Textual 12,vitrivr I,true
KIS Textual 13,vitrivr I,false
KIS Textual 15,vitrivr I,false
KIS Textual 17,vitrivr I,true
KIS Textual 18,vitrivr I,true
KIS Textual 19,vitrivr I,false
KIS Textual 2,vitrivr I,true
KIS Textual 20,vitrivr I,false
KIS Textual 21,vitrivr I,true
KIS Textual 22,vitrivr I,false
KIS Textual 23,vitrivr I,false
KIS Textual 24,vitrivr I,true
KIS Textual 25,vitrivr I,true
KIS Textual 3,vitrivr I,false
KIS Textual 4,vitrivr I,false
KIS Textual 5,vitrivr I,false
KIS Textual 6,vitrivr I,false
KIS Textual 8,vitrivr I,true
KIS Textual 9,vitrivr I,false
KIS Visual 1,vitrivr I,true
KIS Visual 11,vitrivr I,false
KIS Visual 12,vitrivr I,false
KIS Visual 13,vitrivr I,true
KIS Visual 15,vitrivr I,false
KIS Visual 17,vitrivr I,true
KIS Visual 18,vitrivr I,false
KIS Visual 19,vitrivr I,true
KIS Visual 2,vitrivr I,true
KIS Visual 20,vitrivr I,true
KIS Visual 21,vitrivr I,false
KIS Visual 22,vitrivr I,false
KIS Visual 23,vitrivr I,true
KIS Visual 24,vitrivr I,false
KIS Visual 25,vitrivr I,true
KIS Visual 3,vitrivr I,true
KIS Visual 4,vitrivr I,true
KIS Visual 5,vitrivr I,false
KIS Visual 6,vitrivr I,true
KIS Visual 8,vitrivr I,true
KIS Visual 9,vitrivr I,false
KIS Textual 1,vitrivr II,false
KIS Textual 11,vitrivr II,true
KIS Textual 12,vitrivr II,true
KIS Textual 13,vitrivr II,false
KIS Textual 15,vitrivr II,true
KIS Textual 17,vitrivr II,true
KIS Textual 18,vitrivr II,true
KIS Textual 19,vitrivr II,false
KIS Textual 2,vitrivr II,true
KIS Textual 20,vitrivr II,true
KIS Textual 21,vitrivr II,true
KIS Textual 22,vitrivr II,false
KIS Textual 23,vitrivr II,false
KIS Textual 24,vitrivr II,true
KIS Textual 25,vitrivr II,true
KIS Textual 3,vitrivr II,false
KIS Textual 4,vitrivr II,true
KIS Textual 5,vitrivr II,true
KIS Textual 6,vitrivr II,true
KIS Textual 8,vitrivr II,true
KIS Textual 9,vitrivr II,false
KIS Visual 1,vitrivr II,true
KIS Visual 11,vitrivr II,true
KIS Visual 12,vitrivr II,false
KIS Visual 13,vitrivr II,true
KIS Visual 15,vitrivr II,true
KIS Visual 17,vitrivr II,true
KIS Visual 18,vitrivr II,false
KIS Visual 19,vitrivr II,true
KIS Visual 2,vitrivr II,false
KIS Visual 20,vitrivr II,true
KIS Visual 21,vitrivr II,false
KIS Visual 22,vitrivr II,false
KIS Visual 23,vitrivr II,true
KIS Visual 24,vitrivr II,false
KIS Visual 25,vitrivr II,true
KIS Visual 3,vitrivr II,true
KIS Visual 4,vitrivr II,true
KIS Visual 5,vitrivr II,false
KIS Visual 6,vitrivr II,true
KIS Visual 8,vitrivr II,true
KIS Visual 9,vitrivr II,false
KIS Textual 1,vitrivr III,true
KIS Textual 11,vitrivr III,true
KIS Textual 12,vitrivr III,true
KIS Textual 13,vitrivr III,false
KIS Textual 15,vitrivr III,true
KIS Textual 17,vitrivr III,false
KIS Textual 18,vitrivr III,false
KIS Textual 19,vitrivr III,false
KIS Textual 2,vitrivr III,true
KIS Textual 20,vitrivr III,true
KIS Textual 21,vitrivr III,false
KIS Textual 22,vitrivr III,false
KIS Textual 23,vitrivr III,false
KIS Textual 24,vitrivr III,false
KIS Textual 25,vitrivr III,true
KIS Textual 3,vitrivr III,true
KIS Textual 4,vitrivr III,true
KIS Textual 5,vitrivr III,false
KIS Textual 6,vitrivr III,false
KIS Textual 8,vitrivr III,true
KIS Textual 9,vitrivr III,false
KIS Visual 1,vitrivr III,true
KIS Visual 11,vitrivr III,false
KIS Visual 12,vitrivr III,true
KIS Visual 13,vitrivr III,true
KIS Visual 15,vitrivr III,true
KIS Visual 17,vitrivr III,true
KIS Visual 18,vitrivr III,false
KIS Visual 19,vitrivr III,true
KIS Visual 2,vitrivr III,false
KIS Visual 20,vitrivr III,true
KIS Visual 21,vitrivr III,false
KIS Visual 22,vitrivr III,false
KIS Visual 23,vitrivr III,true
KIS Visual 24,vitrivr III,false
KIS Visual 25,vitrivr III,false
KIS Visual 3,vitrivr III,true
KIS Visual 4,vitrivr III,true
KIS Visual 5,vitrivr III,false
KIS Visual 6,vitrivr III,true
KIS Visual 8,vitrivr III,true
KIS Visual 9,vitrivr III,false
KIS Textual 1,vitrivr IV,true
KIS Textual 11,vitrivr IV,true
KIS Textual 12,vitrivr IV,true
KIS Textual 13,vitrivr IV,false
KIS Textual 15,vitrivr IV,false
KIS Textual 17,vitrivr IV,false
KIS Textual 18,vitrivr IV,true
KIS Textual 19,vitrivr IV,false
KIS Textual 2,vitrivr IV,true
KIS Textual 20,vitrivr IV,true
KIS Textual 21,vitrivr IV,true
KIS Textual 22,vitrivr IV,false
KIS Textual 23,vitrivr IV,false
KIS Textual 24,vitrivr IV,true
KIS Textual 25,vitrivr IV,true
KIS Textual 3,vitrivr IV,false
KIS Textual 4,vitrivr IV,true
KIS Textual 5,vitrivr IV,true
KIS Textual 6,vitrivr IV,false
KIS Textual 8,vitrivr IV,true
KIS Textual 9,vitrivr IV,false
KIS Visual 1,vitrivr IV,false
KIS Visual 11,vitrivr IV,true
KIS Visual 12,vitrivr IV,false
KIS Visual 13,vitrivr IV,true
KIS Visual 15,vitrivr IV,false
KIS Visual 17,vitrivr IV,true
KIS Visual 18,vitrivr IV,false
KIS Visual 19,vitrivr IV,true
KIS Visual 2,vitrivr IV,false
KIS Visual 20,vitrivr IV,true
KIS Visual 21,vitrivr IV,false
KIS Visual 22,vitrivr IV,false
KIS Visual 23,vitrivr IV,true
KIS Visual 24,vitrivr IV,false
KIS Visual 25,vitrivr IV,true
KIS Visual 3,vitrivr IV,true
KIS Visual 4,vitrivr IV,true
KIS Visual 5,vitrivr IV,false
KIS Visual 6,vitrivr IV,false
KIS Visual 8,vitrivr IV,false
KIS Visual 9,vitrivr IV,false
KIS Textual 1,vitrivr V,true
KIS Textual 11,vitrivr V,true
KIS Textual 12,vitrivr V,true
KIS Textual 13,vitrivr V,false
KIS Textual 15,vitrivr V,false
KIS Textual 17,vitrivr V,false
KIS Textual 18,vitrivr V,false
KIS Textual 19,vitrivr V,false
KIS Textual 2,vitrivr V,true
KIS Textual 20,vitrivr V,false
KIS Textual 21,vitrivr V,true
KIS Textual 22,vitrivr V,false
KIS Textual 23,vitrivr V,false
KIS Textual 24,vitrivr V,true
KIS Textual 25,vitrivr V,true
KIS Textual 3,vitrivr V,false
KIS Textual 4,vitrivr V,true
KIS Textual 5,vitrivr V,false
KIS Textual 6,vitrivr V,false
KIS Textual 8,vitrivr V,true
KIS Textual 9,vitrivr V,false
KIS Visual 1,vitrivr V,true
KIS Visual 11,vitrivr V,false
KIS Visual 12,vitrivr V,true
KIS Visual 13,vitrivr V,true
KIS Visual 15,vitrivr V,false
KIS Visual 17,vitrivr V,true
KIS Visual 18,vitrivr V,false
KIS Visual 19,vitrivr V,true
KIS Visual 2,vitrivr V,false
KIS Visual 20,vitrivr V,true
KIS Visual 21,vitrivr V,false
KIS Visual 22,vitrivr V,false
KIS Visual 23,vitrivr V,true
KIS Visual 24,vitrivr V,false
KIS Visual 25,vitrivr V,true
KIS Visual 3,vitrivr V,true
KIS Visual 4,vitrivr V,true
KIS Visual 5,vitrivr V,false
KIS Visual 6,vitrivr V,true
KIS Visual 8,vitrivr V,false
KIS Visual 9,vitrivr V,false
KIS Textual 1,vitrivr VI,false
KIS Textual 11,vitrivr VI,true
KIS Textual 12,vitrivr VI,true
KIS Textual 13,vitrivr VI,true
KIS Textual 15,vitrivr VI,false
KIS Textual 17,vitrivr VI,false
KIS Textual 18,vitrivr VI,true
KIS Textual 19,vitrivr VI,false
KIS Textual 2,vitrivr VI,true
KIS Textual 20,vitrivr VI,true
KIS Textual 21,vitrivr VI,true
KIS Textual 22,vitrivr VI,false
KIS Textual 23,vitrivr VI,false
KIS Textual 24,vitrivr VI,true
KIS Textual 25,vitrivr VI,true
KIS Textual 3,vitrivr VI,false
KIS Textual 4,vitrivr VI,false
KIS Textual 5,vitrivr VI,false
KIS Textual 6,vitrivr VI,false
KIS Textual 8,vitrivr VI,true
KIS Textual 9,vitrivr VI,false
KIS Visual 1,vitrivr VI,true
KIS Visual 11,vitrivr VI,true
KIS Visual 12,vitrivr VI,false
KIS Visual 13,vitrivr VI,true
KIS Visual 15,vitrivr VI,false
KIS Visual 17,vitrivr VI,true
KIS Visual 18,vitrivr VI,false
KIS Visual 19,vitrivr VI,true
KIS Visual 2,vitrivr VI,false
KIS Visual 20,vitrivr VI,false
KIS Visual 21,vitrivr VI,false
KIS Visual 22,vitrivr VI,false
KIS Visual 23,vitrivr VI,true
KIS Visual 24,vitrivr VI,false
KIS Visual 25,vitrivr VI,true
KIS Visual 3,vitrivr VI,true
KIS Visual 4,vitrivr VI,true
KIS Visual 5,vitrivr VI,false
KIS Visual 6,vitrivr VI,false
KIS Visual 8,vitrivr VI,false
KIS Visual 9,vitrivr VI,false
KIS Textual 1,vitrivr VII,true
KIS Textual 11,vitrivr VII,true
KIS Textual 12,vitrivr VII,false
KIS Textual 13,vitrivr VII,false
KIS Textual 15,vitrivr VII,false
KIS Textual 17,vitrivr VII,false
KIS Textual 18,vitrivr VII,false
KIS Textual 19,vitrivr VII,false
KIS Textual 2,vitrivr VII,true
KIS Textual 20,vitrivr VII,true
KIS Textual 21,vitrivr VII,true
KIS Textual 22,vitrivr VII,false
KIS Textual 23,vitrivr VII,false
KIS Textual 24,vitrivr VII,false
KIS Textual 25,vitrivr VII,true
KIS Textual 3,vitrivr VII,false
KIS Textual 4,vitrivr VII,false
KIS Textual 5,vitrivr VII,false
KIS Textual 6,vitrivr VII,false
KIS Textual 8,vitrivr VII,true
KIS Textual 9,vitrivr VII,false
KIS Visual 1,vitrivr VII,true
KIS Visual 11,vitrivr VII,true
KIS Visual 12,vitrivr VII,false
KIS Visual 13,vitrivr VII,true
KIS Visual 15,vitrivr VII,false
KIS Visual 17,vitrivr VII,true
KIS Visual 18,vitrivr VII,false
KIS Visual 19,vitrivr VII,true
KIS Visual 2,vitrivr VII,true
KIS Visual 20,vitrivr VII,true
KIS Visual 21,vitrivr VII,false
KIS Visual 22,vitrivr VII,false
KIS Visual 23,vitrivr VII,true
KIS Visual 24,vitrivr VII,true
KIS Visual 25,vitrivr VII,true
KIS Visual 3,vitrivr VII,true
KIS Visual 4,vitrivr VII,false
KIS Visual 5,vitrivr VII,false
KIS Visual 6,vitrivr VII,false
KIS Visual 8,vitrivr VII,false
KIS Visual 9,vitrivr VII,false
KIS Textual 1,vitrivr VIII,true
KIS Textual 11,vitrivr VIII,true
KIS Textual 12,vitrivr VIII,true
KIS Textual 13,vitrivr VIII,false
KIS Textual 15,vitrivr VIII,false
KIS Textual 17,vitrivr VIII,true
KIS Textual 18,vitrivr VIII,false
KIS Textual 19,vitrivr VIII,false
KIS Textual 2,vitrivr VIII,true
KIS Textual 20,vitrivr VIII,true
KIS Textual 21,vitrivr VIII,false
KIS Textual 22,vitrivr VIII,false
KIS Textual 23,vitrivr VIII,false
KIS Textual 24,vitrivr VIII,false
KIS Textual 25,vitrivr VIII,true
KIS Textual 3,vitrivr VIII,false
KIS Textual 4,vitrivr VIII,false
KIS Textual 5,vitrivr VIII,true
KIS Textual 6,vitrivr VIII,false
KIS Textual 8,vitrivr VIII,true
KIS Textual 9,vitrivr VIII,false
KIS Visual 1,vitrivr VIII,true
KIS Visual 11,vitrivr VIII,true
KIS Visual 12,vitrivr VIII,false
KIS Visual 13,vitrivr VIII,true
KIS Visual 15,vitrivr VIII,false
KIS Visual 17,vitrivr VIII,true
KIS Visual 18,vitrivr VIII,false
KIS Visual 19,vitrivr VIII,true
KIS Visual 2,vitrivr VIII,true
KIS Visual 20,vitrivr VIII,true
KIS Visual 21,vitrivr VIII,false
KIS Visual 22,vitrivr VIII,false
KIS Visual 23,vitrivr VIII,true
KIS Visual 24,vitrivr VIII,false
KIS Visual 25,vitrivr VIII,true
KIS Visual 3,vitrivr VIII,true
KIS Visual 4,vitrivr VIII,true
KIS Visual 5,vitrivr VIII,true
KIS Visual 6,vitrivr VIII,false
KIS Visual 8,vitrivr VIII,false
KIS Visual 9,vitrivr VIII,false
